Year,city,City Temp,Global Temp
1849,Abidjan,25.58,7.98
1850,Abidjan,25.52,7.90
1851,Abidjan,25.67,8.18
1852,Abidjan,,8.10
1853,Abidjan,,8.04
1854,Abidjan,,8.21
1855,Abidjan,,8.11
1856,Abidjan,26.28,8.00
1857,Abidjan,25.17,7.76
1858,Abidjan,25.49,8.10
1859,Abidjan,25.92,8.25
1860,Abidjan,25.46,7.96
1861,Abidjan,25.67,7.85
1862,Abidjan,25.17,7.56
1863,Abidjan,,8.11
1864,Abidjan,,7.98
1865,Abidjan,,8.18
1866,Abidjan,,8.29
1867,Abidjan,,8.44
1868,Abidjan,,8.25
1869,Abidjan,,8.43
1870,Abidjan,,8.20
1871,Abidjan,,8.12
1872,Abidjan,,8.19
1873,Abidjan,25.62,8.35
1874,Abidjan,25.68,8.43
1875,Abidjan,25.25,7.86
1876,Abidjan,25.14,8.08
1877,Abidjan,25.85,8.54
1878,Abidjan,25.87,8.83
1879,Abidjan,25.38,8.17
1880,Abidjan,25.96,8.12
1881,Abidjan,26.07,8.27
1882,Abidjan,25.69,8.13
1883,Abidjan,26.13,7.98
1884,Abidjan,26.37,7.77
1885,Abidjan,26.07,7.92
1886,Abidjan,25.47,7.95
1887,Abidjan,24.91,7.91
1888,Abidjan,24.95,8.09
1889,Abidjan,25.12,8.32
1890,Abidjan,24.86,7.97
1891,Abidjan,25.11,8.02
1892,Abidjan,25.17,8.07
1893,Abidjan,25.33,8.06
1894,Abidjan,25.04,8.16
1895,Abidjan,25.37,8.15
1896,Abidjan,25.33,8.21
1897,Abidjan,25.64,8.29
1898,Abidjan,25.47,8.18
1899,Abidjan,26.46,8.40
1900,Abidjan,26.12,8.50
1901,Abidjan,25.92,8.54
1902,Abidjan,25.59,8.30
1903,Abidjan,25.48,8.22
1904,Abidjan,25.24,8.09
1905,Abidjan,25.78,8.23
1906,Abidjan,26.08,8.38
1907,Abidjan,25.69,7.95
1908,Abidjan,25.80,8.19
1909,Abidjan,25.57,8.18
1910,Abidjan,25.70,8.22
1911,Abidjan,25.41,8.18
1912,Abidjan,26.42,8.17
1913,Abidjan,26.33,8.30
1914,Abidjan,26.28,8.59
1915,Abidjan,26.29,8.59
1916,Abidjan,26.13,8.23
1917,Abidjan,26.47,8.02
1918,Abidjan,25.93,8.13
1919,Abidjan,26.19,8.38
1920,Abidjan,26.32,8.36
1921,Abidjan,26.42,8.57
1922,Abidjan,26.23,8.41
1923,Abidjan,25.96,8.42
1924,Abidjan,26.09,8.51
1925,Abidjan,26.09,8.53
1926,Abidjan,26.79,8.73
1927,Abidjan,26.23,8.52
1928,Abidjan,26.16,8.63
1929,Abidjan,26.50,8.24
1930,Abidjan,26.39,8.63
1931,Abidjan,26.44,8.72
1932,Abidjan,25.81,8.71
1933,Abidjan,26.55,8.34
1934,Abidjan,26.38,8.63
1935,Abidjan,26.15,8.52
1936,Abidjan,25.88,8.55
1937,Abidjan,26.54,8.70
1938,Abidjan,26.53,8.86
1939,Abidjan,25.84,8.76
1940,Abidjan,26.61,8.76
1941,Abidjan,26.77,8.77
1942,Abidjan,26.34,8.73
1943,Abidjan,26.06,8.76
1944,Abidjan,26.56,8.85
1945,Abidjan,26.52,8.58
1946,Abidjan,26.25,8.68
1947,Abidjan,26.37,8.80
1948,Abidjan,26.15,8.75
1949,Abidjan,26.51,8.59
1950,Abidjan,26.20,8.37
1951,Abidjan,26.32,8.63
1952,Abidjan,26.28,8.64
1953,Abidjan,26.24,8.87
1954,Abidjan,26.01,8.56
1955,Abidjan,26.03,8.63
1956,Abidjan,25.90,8.28
1957,Abidjan,26.28,8.73
